flow_duration,Header_Length,Protocol Type,Rate,IAT,Device_Type,Direction,Message_Type,Priority,Timestamp,Packet_Loss,Latency,Jitter,label
0.0549945521354675,18325.0,DNP3,100.0,1000.0,IED,0,Measurement,4,2024-01-03 07:33:20,0.00023465901706684557,97.02663172967647,3.211169663393152,SmartGrid
4.871881551742554,201.1,IEC61850,1.496562017270531,1000.0,SmartMeter,1,Measurement,3,2024-01-03 07:33:21,0.000574107529487803,1.8514667962614695,1.625782296668119,SmartGrid
0.0,2.14,DNP3,41.53653576993162,1000.0,Substation,1,Status,3,2024-01-03 07:33:22,0.00042512198014580185,44.713561063976904,4.906485385177072,SmartGrid
1.9547843956947328,281952.22,DNP3,100.0,1000.0,RTU,1,Measurement,4,2024-01-03 07:33:23,0.0004622463069861618,93.49618665703795,9.620845984086452,SmartGrid
2.42455530166626,69269.5,DNP3,23.28956804144953,0.0023857116699218,DER,0,Event,3,2024-01-03 07:33:24,0.0006337808483301182,78.68259998682431,8.754969941753997,SmartGrid
0.0,0.0,DNP3,3.38554475553037,1000.0,Substation,1,Control,3,2024-01-03 07:33:25,0.000600750405353631,73.57071594522819,0.48750082583866927,SmartGrid
4.123933129310608,97.2,IEC61850,0.3879890685914839,1000.0,IED,1,Control,3,2024-01-03 07:33:26,0.0005823006650873516,35.473558265631276,1.2835487455192074,SmartGrid
0.0,54.0,Modbus,77.95741833557918,1000.0,Substation,1,Status,3,2024-01-03 07:33:27,0.0004577584102750889,25.092020091875867,9.102150215287459,SmartGrid
0.0,757.0,DNP3,4.03471100615167,1000.0,SmartMeter,0,Status,1,2024-01-03 07:33:28,0.0009697883506878304,27.713622786066473,2.852993887773226,SmartGrid
0.1394972705841064,81.0,IEC61850,7.188229353215657,1000.0,IED,0,Status,4,2024-01-03 07:33:29,0.00038546292713971775,70.81535254209722,6.624895510922517,SmartGrid
0.0731534385681152,14050.0,DNP3,100.0,1000.0,Substation,0,Control,3,2024-01-03 07:33:30,4.540679289778649e-05,88.21240930825198,3.8154994499914197,SmartGrid
